spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_rolloff_mean,spectral_rolloff_std,zcr_mean,zcr_std,harmonic_mean,harmonic_std,percussive_mean,percussive_std,rms_mean,rms_std,rms_dynamic_range,label
848.6651261918696,323.12997402089997,786.4690281382426,279.61609400064543,1427.499112215909,843.0651181157898,0.06055673926767677,0.032509069873923685,1.0949311e-05,0.2368079,-6.689196e-07,0.09841802,0.24705863,0.1131926,0.51233655,1
1025.1502928066209,366.73327219714565,999.9243347089226,262.2297231956872,1945.76416015625,802.7182065537398,0.06302445023148148,0.03806226401882586,3.5372384e-05,0.08986999,3.4129513e-05,0.14511041,0.16435562,0.09640328,0.31935188,1
1635.5840883631622,1117.176255259088,1377.027946270583,546.6855780520315,2817.829708936738,1851.968653839122,0.12881693025914634,0.09351944301292793,-3.377295e-06,0.10179274,1.9405523e-05,0.089155346,0.13660648,0.07010953,0.26602334,1
1499.6723850022202,860.835826741065,1265.6719576371934,330.63883520558505,2659.3505859375,1346.527729649474,0.0734327362804878,0.06418151493601822,2.3654475e-05,0.15174778,-7.838252e-05,0.10015887,0.18544503,0.059041522,0.23191154,1
1499.937017483525,1046.3006834010619,1394.1463513537067,506.6344692228856,2843.7599359556684,1688.3288535034278,0.07172056686046512,0.06717510938939378,5.6365887e-05,0.12934494,-0.00015850013,0.1098692,0.17399988,0.07625941,0.2884074,1
1645.5079073389547,935.3670204805287,1462.279453648964,432.6013507457115,3092.392548169095,1552.604117459772,0.10280866564417178,0.08371240094733604,1.9411077e-06,0.14536248,1.0556423e-05,0.091863915,0.16501462,0.084980085,0.35902992,1
2697.681655423781,1696.6744657194781,1839.2043345909117,424.5266278704949,4613.925253378378,1944.0017731595262,0.19236961570945946,0.16967470363643106,-2.4293551e-05,0.104982644,-0.00014306509,0.09532753,0.13977253,0.060619432,0.283812,1
2026.4332873391074,1275.5966497800157,1704.7599144545798,369.6190179441105,3832.2768267463234,1636.1559147937223,0.12156288296568628,0.13591293242899613,4.2347296e-05,0.11773685,5.699768e-05,0.08832028,0.14369948,0.06693765,0.2628616,1
1903.4336087195159,1582.705528556128,1409.8328179755074,598.0629049072425,3150.497616038603,2273.137750368316,0.16734403722426472,0.16762838768375737,-5.6925965e-06,0.13784635,1.0001955e-05,0.12503606,0.18520683,0.11233824,0.43154415,1
1812.5832655801728,915.0780088711269,1560.8637905789856,281.2696801543938,3506.8017578125,1300.1403821378713,0.10782335069444444,0.09244455187131069,-0.0001305718,0.09485952,1.7344051e-05,0.14184164,0.1913696,0.05119118,0.19107017,1
