0,1,2,3,4,5,6,7,8,9,10,11,label,filename
0.97215056,0.626557,0.8089005,1.8464426,2.402175,2.2152457,1.4065397,0.46988562,0.37883744,-0.30206957,-0.57491976,0.03178792,0,file30967.wav_16k.wav_norm.wav_mono.wav_silence.wav
1.2921308,0.9098279,0.895206,0.7085002,1.1343393,1.395878,1.0933033,0.6663076,0.38776627,0.6819475,0.8953228,1.0774565,0,file4490.wav_16k.wav_norm.wav_mono.wav_silence.wav
-0.5874204,-0.4234271,-0.31255284,-0.11115297,0.9931631,1.9505682,2.0622442,1.6693164,1.4182026,0.95999265,0.09719551,-0.3312292,0,file12743.wav_16k.wav_norm.wav_mono.wav_silence.wav
-0.1854059,0.38501996,-0.16438709,-0.48044962,-0.53296167,-0.9518649,-1.2589725,-0.59663624,0.2686981,0.5467774,0.44074032,-0.103084005,0,file17628.wav_16k.wav_norm.wav_mono.wav_silence.wav
-0.7019928,-0.7599224,-0.17184019,-0.31089282,0.3794947,0.58319587,0.01369905,0.4452637,-0.38199568,-0.7712307,-0.9779565,-0.8823858,0,file31230.wav_16k.wav_norm.wav_mono.wav_silence.wav
-0.42148817,-0.01611674,0.48666584,0.15397964,-0.34260088,-0.5363436,0.017488392,0.1075636,-0.44803756,0.73425037,0.2668434,-0.28168088,0,file24602.wav_16k.wav_norm.wav_mono.wav_silence.wav
2.472043,2.043898,1.8443826,1.7872244,2.2381399,2.0386155,1.760198,2.2804475,1.9775677,2.207942,1.9578656,1.6985841,0,file32269.wav_16k.wav_norm.wav_mono.wav_silence.wav
-0.14624038,-0.12527975,0.19530238,0.5694579,0.8087526,0.056634,-0.24455942,-0.34308812,-0.52721775,-0.3950879,0.21458027,0.059091996,0,file18152.wav_16k.wav_norm.wav_mono.wav_silence.wav
0.23906465,0.71315306,-0.4040316,-0.24988057,-0.61993545,-0.6867299,-0.3271012,-0.018918237,0.51704293,-0.31180725,-0.7998915,-0.54279065,0,file1033.wav_16k.wav_norm.wav_mono.wav_silence.wav
2.0235367,1.701065,0.4223013,-0.65049344,-1.5226071,-1.3644583,-0.91557485,-0.31731054,0.24990281,-0.23532337,0.14715153,1.25309,0,file13629.wav_16k.wav_norm.wav_mono.wav_silence.wav
1.2390306,1.756515,3.3011563,2.496973,1.217524,0.7526056,0.6899077,0.9353627,1.5287418,1.0614257,1.4723411,1.5909313,0,file16075.wav_16k.wav_norm.wav_mono.wav_silence.wav
-1.1860485,-0.7463193,-0.73760736,-0.4138947,-0.6494164,-0.7037976,-1.4414846,-0.70349556,-0.60471135,-0.06768084,1.0110216,-0.14628536,0,file23365.wav_16k.wav_norm.wav_mono.wav_silence.wav
-0.7818468,-1.0846552,-1.045046,-1.048936,-0.7345342,0.31262985,0.04393155,-0.21494833,-0.70059186,-0.39738536,0.5607303,0.062285792,0,file10436.wav_16k.wav_norm.wav_mono.wav_silence.wav
1.3981525,1.3521917,0.26633385,-0.28800556,0.05224302,0.0073405155,0.6224126,0.54404694,1.1659561,1.7655133,1.1297233,1.4391407,0,file1062.wav_16k.wav_norm.wav_mono.wav_silence.wav
0.20206681,-0.41192862,-1.0947337,-0.95900905,-0.75348246,-0.43341973,-0.5530658,-0.5415032,-0.02597712,0.857435,-0.43810147,-0.43669242,0,file7827.wav_16k.wav_norm.wav_mono.wav_silence.wav
-0.9391548,-0.6560943,-0.53571504,-0.014243834,-0.05287527,-0.6855806,-1.3724276,-0.5340807,0.472187,0.7686425,0.7709762,-0.15168203,0,file7818.wav_16k.wav_norm.wav_mono.wav_silence.wav
-0.041406415,0.2638268,0.18041538,-0.7698099,-0.6014046,-0.4814588,-0.87885153,-0.93370557,-0.40237433,0.43872163,0.068872295,-0.18460792,0,file16687.wav_16k.wav_norm.wav_mono.wav_silence.wav
0.47672287,0.10574456,-0.049926747,-0.11053675,0.29659268,0.75258774,0.8857579,0.9965695,1.3489896,0.9663136,0.25537065,0.32515416,0,file9392.wav_16k.wav_norm.wav_mono.wav_silence.wav
1.4768711,0.87640816,0.6840179,1.0611938,1.2266902,0.1705765,-0.45773333,-0.20664363,0.17687371,0.31654957,1.0399202,1.4631941,0,file28750.wav_16k.wav_norm.wav_mono.wav_silence.wav
-0.28068125,-0.49030244,-0.764064,-0.90636617,-0.6035468,-0.1449143,-0.20210816,0.08874123,-0.47565416,-0.5832633,-0.18603505,-0.3005717,0,file2326.wav_16k.wav_norm.wav_mono.wav_silence.wav
-1.7147608,-1.6033779,-1.7133875,-1.8305602,-0.5691573,1.288397,1.8076829,1.2877896,-0.5955839,-1.933035,-2.3062136,-2.0336447,0,file9983.wav_16k.wav_norm.wav_mono.wav_silence.wav
3.5521693,1.2296927,-0.12591273,-0.7688459,-1.1476061,-1.6071403,-0.93838173,-0.753637,-1.2022493,-1.7415955,-0.39519122,3.2640915,0,file26552.wav_16k.wav_norm.wav_mono.wav_silence.wav
0.35758358,0.27599636,0.27834958,0.053464502,-0.151835,0.23985215,-0.1657125,0.40996724,1.5754969,1.5463172,0.7999425,0.86723953,0,file19159.wav_16k.wav_norm.wav_mono.wav_silence.wav
0.45903447,0.046685763,0.4114809,0.021794587,-0.87541676,-1.2970835,-0.860238,-0.30057758,-0.4452195,-0.28006315,0.064839825,0.14790809,0,file13503.wav_16k.wav_norm.wav_mono.wav_silence.wav
2.2781808,1.1617608,0.9442781,0.58709306,0.8954536,0.07878368,-0.31481218,-0.2681488,0.5496505,1.4312898,2.4958394,3.1622186,0,file32212.wav_16k.wav_norm.wav_mono.wav_silence.wav
0.84684074,1.6313138,1.7249653,1.493452,1.2898602,0.6078112,0.5030001,0.6571364,0.8904377,0.28951737,0.009992526,0.33811632,0,file32958.wav_16k.wav_norm.wav_mono.wav_silence.wav
-0.017330745,0.82162035,0.5791747,1.6140128,2.2651634,1.6013881,0.86346513,0.4428143,0.29175934,-0.14345016,0.7331115,0.33921087,0,file12554.wav_16k.wav_norm.wav_mono.wav_silence.wav
-1.0967821,-1.2422842,-0.9397332,0.068720505,0.82690036,-0.116445795,-0.4403313,-0.46722785,-0.08235035,0.047115132,0.14479353,-0.08195484,0,file31818.wav_16k.wav_norm.wav_mono.wav_silence.wav
-0.71659756,0.7244014,0.30494803,-0.37581876,-0.35080603,-0.66148376,-0.31948268,-0.34122452,0.18326454,-0.6415931,-1.0465075,-0.9610953,0,file14552.wav_16k.wav_norm.wav_mono.wav_silence.wav
-0.3260635,0.42670733,0.56987476,0.9719291,0.48741874,-0.133034,-0.499432,-0.56046677,-0.8904879,-1.0211353,-0.92036116,-0.6146274,0,file15047.wav_16k.wav_norm.wav_mono.wav_silence.wav
-0.11816291,-0.09325168,0.2436814,0.16227473,-0.79540235,-1.729821,-1.2187074,-1.1235243,-1.0720665,-0.90082,-0.66102976,-0.9649979,0,file26237.wav_16k.wav_norm.wav_mono.wav_silence.wav
-0.09141607,0.5978888,0.7415181,1.0186977,0.77495897,0.69349486,-0.67450714,-1.5450399,-1.4244969,-0.6633988,0.04718596,-0.47299042,0,file30275.wav_16k.wav_norm.wav_mono.wav_silence.wav
-0.23097351,0.08783489,0.68244934,-0.021647511,-0.13051659,0.1867034,-0.11450405,-0.039966747,0.3642384,0.87668264,0.12659277,-0.28479078,0,file19200.wav_16k.wav_norm.wav_mono.wav_silence.wav
